from_snippet,from_song,from_section,from_key,from_prog,to_snippet,to_song,to_section,to_key,to_prog,score
TS_010,midnight rain,Bridge,F,"['I', 'V', 'II', 'iii']",TS_014,bad blood (taylor's version),Verse,C,"['I', 'V', 'II', 'iii']",1.0416666666666667
TS_014,bad blood (taylor's version),Verse,C,"['I', 'V', 'II', 'iii']",TS_010,midnight rain,Bridge,F,"['I', 'V', 'II', 'iii']",1.0416666666666667
TS_016,bad blood (taylor's version),Bridge,C,"['I', 'V', 'II', 'iii']",TS_010,midnight rain,Bridge,F,"['I', 'V', 'II', 'iii']",1.0416666666666667
TS_010,midnight rain,Bridge,F,"['I', 'V', 'II', 'iii']",TS_016,bad blood (taylor's version),Bridge,C,"['I', 'V', 'II', 'iii']",1.0416666666666667
TS_015,bad blood (taylor's version),Pre-Chorus,C,"['I', 'V', 'II', 'iii']",TS_010,midnight rain,Bridge,F,"['I', 'V', 'II', 'iii']",1.0416666666666667
TS_010,midnight rain,Bridge,F,"['I', 'V', 'II', 'iii']",TS_015,bad blood (taylor's version),Pre-Chorus,C,"['I', 'V', 'II', 'iii']",1.0416666666666667
TS_003,seven,Bridge,A,"['i', 'III', 'VII']",TS_031,mad woman,Intro,F,"['i', 'III', 'VII']",1.0166666666666666
TS_031,mad woman,Intro,F,"['i', 'III', 'VII']",TS_003,seven,Bridge,A,"['i', 'III', 'VII']",1.0166666666666666
TS_046,stay beautiful,Chorus,G#,"['I', 'vi', 'IV', 'V', 'V', 'V', 'V']",TS_028,tim mcgraw,Chorus,C,"['I', 'vi', 'IV', 'V', 'V', 'V']",0.5166666666666667
TS_028,tim mcgraw,Chorus,C,"['I', 'vi', 'IV', 'V', 'V', 'V']",TS_046,stay beautiful,Chorus,G#,"['I', 'vi', 'IV', 'V', 'V', 'V', 'V']",0.5166666666666667
TS_027,tim mcgraw,Verse,C,"['I', 'vi', 'IV', 'V', 'V']",TS_046,stay beautiful,Chorus,G#,"['I', 'vi', 'IV', 'V', 'V', 'V', 'V']",0.5
