snippet_id,song_title,section,artist,key,key_mode,roman_progression,chord_progression_raw
TS_001,seven,Verse,Taylor Swift,D,minor,"['IV', 'i', 'VII']","['G', 'Dm', 'C']"
TS_002,seven,Chorus,Taylor Swift,D,minor,"['i', 'VII', 'III', 'IV']","['Dm', 'C', 'F', 'G']"
TS_003,seven,Bridge,Taylor Swift,D,minor,"['v', 'VII', 'IV']","['Am', 'C', 'G']"
TS_004,seven,Outro,Taylor Swift,D,minor,"['v', 'VII', 'IV', 'VII']","['Am', 'C', 'G', 'C']"
TS_005,it's nice to have a friend,Intro,Taylor Swift,A,minor,"['i', 'VII']","['Am', 'G']"
TS_006,it's nice to have a friend,Verse,Taylor Swift,A,minor,"['i', 'VII']","['Am', 'G']"
TS_007,it's nice to have a friend,Outro,Taylor Swift,A,minor,"['i', 'VII']","['Am', 'G']"
TS_008,midnight rain,Verse,Taylor Swift,F,major,"['I', 'V', 'V', 'II', 'iii', 'I']","['F', 'C', 'C', 'G', 'Am', 'F']"
TS_009,midnight rain,Pre-Chorus,Taylor Swift,F,major,"['V', 'II', 'iii', 'I', 'V', 'II', 'iii']","['C', 'G', 'Am', 'F', 'C', 'G', 'Am']"
TS_010,midnight rain,Bridge,Taylor Swift,F,major,"['I', 'V', 'II', 'iii']","['F', 'C', 'G', 'Am']"
TS_011,the manuscript,Intro,Taylor Swift,C,major,"['I', 'V', 'V', 'IV']","['C', 'G', 'G', 'F']"
TS_012,the manuscript,Verse,Taylor Swift,C,major,"['I', 'V', 'V', 'IV']","['C', 'G', 'G', 'F']"
TS_013,the manuscript,Bridge,Taylor Swift,C,major,"['V', 'vi', 'IV', 'V', 'I', 'IV']","['G', 'Am', 'F', 'G', 'C', 'F']"
TS_014,bad blood (taylor's version),Verse,Taylor Swift,C,major,"['I', 'V', 'II', 'iii']","['C', 'G', 'D', 'Em']"
TS_015,bad blood (taylor's version),Pre-Chorus,Taylor Swift,C,major,"['I', 'V', 'II', 'iii']","['C', 'G', 'D', 'Em']"
TS_016,bad blood (taylor's version),Chorus,Taylor Swift,C,major,"['I', 'V', 'II', 'iii']","['N.C', 'C', 'G', 'D', 'Em']"
TS_017,bad blood (taylor's version),Bridge,Taylor Swift,C,major,"['I', 'V', 'II', 'iii']","['C', 'G', 'D', 'Em']"
TS_018,florida!!! (featuring florence + the machine),Verse,Taylor Swift,G,major,"['VI', 'ii', 'I']","['F', 'Am', 'G']"
TS_019,florida!!! (featuring florence + the machine),Pre-Chorus,Taylor Swift,G,major,"['VI', 'ii', 'I']","['F', 'Am', 'G']"
TS_020,florida!!! (featuring florence + the machine),Chorus,Taylor Swift,G,major,"['I', 'VI', 'I', 'VI']","['G', 'F', 'G', 'F']"
TS_021,florida!!! (featuring florence + the machine),Bridge,Taylor Swift,G,major,"['I', 'VI', 'IV', 'I', 'ii', 'VI', 'IV']","['G', 'F', 'C', 'G', 'Am', 'F', 'C']"
TS_022,'slut!' (taylor's version) (from the vault),Intro,Taylor Swift,G,major,['V'],['D']
TS_023,'slut!' (taylor's version) (from the vault),Verse,Taylor Swift,G,major,"['V', 'iii', 'vii', 'I']","['D', 'Bm', 'F#m', 'G']"
TS_024,'slut!' (taylor's version) (from the vault),Pre-Chorus,Taylor Swift,G,major,"['V', 'iii', 'vii', 'I']","['D', 'Bm', 'F#m', 'G']"
TS_025,'slut!' (taylor's version) (from the vault),Chorus,Taylor Swift,G,major,"['I', 'vii', 'iii', 'II']","['G', 'F#m', 'Bm', 'A']"
TS_026,'slut!' (taylor's version) (from the vault),Bridge,Taylor Swift,G,major,"['V', 'iii', 'vii']","['D', 'Bm', 'F#m']"
TS_027,'slut!' (taylor's version) (from the vault),Outro,Taylor Swift,G,major,"['I', 'vii', 'iii']","['G', 'F#m', 'Bm', 'NC']"
TS_028,tim mcgraw,Verse,Taylor Swift,C,major,"['I', 'vi', 'IV', 'V', 'V']","['C', 'Am7', 'Fadd9', 'Gsus4', 'G']"
TS_029,tim mcgraw,Chorus,Taylor Swift,C,major,"['I', 'vi', 'IV', 'V', 'V', 'V']","['C', 'Am7', 'Fadd9', 'Gsus4', 'G', 'Gsus2']"
TS_030,tim mcgraw,Bridge,Taylor Swift,C,major,"['IV', 'V', 'V', 'V']","['Fadd9', 'Gsus4', 'G', 'Gsus2']"
TS_031,tim mcgraw,Outro,Taylor Swift,C,major,"['I', 'vi', 'IV', 'V', 'V', 'I']","['C', 'Am7', 'Fadd9', 'Gsus4', 'G', 'C']"
TS_032,mad woman,Intro,Taylor Swift,G#,major,"['vi', 'I', 'V']","['Fm', 'G#', 'D#']"
TS_033,mad woman,Verse,Taylor Swift,G#,major,"['iii', 'V', 'II', 'II', 'iii', 'V', 'II', 'vi', 'I', 'V']","['Cm', 'D#', 'A#', 'A#', 'Cm', 'D#', 'A#', 'Fm', 'G#', 'D#']"
TS_034,mad woman,Pre-Chorus,Taylor Swift,G#,major,"['I', 'V', 'II', 'I', 'V']","['G#', 'D#', 'A#', 'G#', 'D#']"
TS_035,mad woman,Chorus,Taylor Swift,G#,major,"['I', 'vi', 'V', 'I', 'V', 'II']","['G#', 'Fm', 'D#', 'G#', 'D#', 'A#']"
TS_036,mad woman,Bridge,Taylor Swift,G#,major,"['I', 'vi', 'V', 'I', 'V', 'II']","['G#', 'Fm', 'D#', 'G#', 'D#', 'A#']"
TS_037,mad woman,Outro,Taylor Swift,G#,major,"['II', 'I', 'vi', 'iii', 'I', 'V', 'II']","['A#', 'G#', 'Fm', 'Cm', 'G#', 'D#', 'A#']"
TS_038,fifteen (taylor's version),Intro,Taylor Swift,G,major,"['I', 'IV', 'vi', 'IV']","['G', 'C', 'Em', 'C']"
TS_039,fifteen (taylor's version),Verse,Taylor Swift,G,major,"['I', 'IV', 'vi', 'IV']","['G', 'C', 'Em', 'C']"
TS_040,fifteen (taylor's version),Chorus,Taylor Swift,G,major,"['I', 'vi', 'V', 'IV']","['G', 'Em', 'D', 'C']"
TS_041,fifteen (taylor's version),Post-Chorus,Taylor Swift,G,major,"['I', 'IV', 'vi', 'IV']","['G', 'C', 'Em', 'C']"
TS_042,fifteen (taylor's version),Bridge,Taylor Swift,G,major,"['IV', 'vi', 'V', 'I', 'V']","['C', 'Em', 'D', 'G', 'D']"
TS_043,fifteen (taylor's version),Outro,Taylor Swift,G,major,"['I', 'IV', 'vi', 'IV']","['G', 'C', 'Em', 'C']"
TS_044,stay beautiful,Intro,Taylor Swift,G#,major,"['I', 'IV', 'V', 'vi', 'IV', 'V', 'V']","['G#', 'C#add9', 'D#', 'Fm', 'C#', 'D#sus4', 'D#sus2']"
TS_045,stay beautiful,Verse,Taylor Swift,G#,major,"['IV', 'V', 'I', 'V', 'vi']","['C#add9', 'D#sus4', 'G#', 'D#', 'Fm']"
TS_046,stay beautiful,Pre-Chorus,Taylor Swift,G#,major,"['II', 'IV', 'V']","['A#', 'C#', 'D#']"
TS_047,stay beautiful,Chorus,Taylor Swift,G#,major,"['I', 'vi', 'IV', 'V', 'V', 'V', 'V']","['G#', 'Fm', 'C#', 'D#sus4', 'D#', 'D#sus2', 'D#']"
TS_048,stay beautiful,Bridge,Taylor Swift,G#,major,"['vi', 'IV', 'I', 'V', 'IV']","['Fm', 'C#', 'G#', 'D#', 'C#']"
TS_049,stay beautiful,Outro,Taylor Swift,G#,major,"['IV', 'V', 'V', 'V', 'V', 'I']","['C#', 'D#sus4', 'D#', 'D#sus2', 'D#', 'G#']"
TS_050,high infidelity,Verse,Taylor Swift,A#,major,"['I', 'vi', 'IV', 'I', 'V']","['A#', 'Gm', 'D#', 'A#', 'F']"
TS_051,high infidelity,Chorus,Taylor Swift,A#,major,"['I', 'vi', 'IV', 'V', 'I']","['A#', 'Gm', 'D#', 'F', 'A#']"
TS_052,high infidelity,Post-Chorus,Taylor Swift,A#,major,"['I', 'V', 'ii']","['A#', 'F', 'Cm']"
TS_053,high infidelity,Outro,Taylor Swift,A#,major,"['I', 'vi', 'IV', 'I', 'V']","['A#', 'Gm', 'D#', 'A#', 'F']"
TS_054,glitch,Verse,Taylor Swift,A,major,"['I', 'vi', 'I', 'vi', 'IV', 'V']","['A', 'F#m', 'A', 'F#m', 'D', 'E']"
TS_055,glitch,Chorus,Taylor Swift,A,major,"['I', 'vi', 'IV', 'V']","['A', 'F#m', 'D', 'E']"
TS_056,glitch,Bridge,Taylor Swift,A,major,"['IV', 'V', 'I', 'vi']","['D', 'E', 'A', 'F#m']"
TS_057,fresh out the slammer,Intro,Taylor Swift,A,major,"['I', 'vi', 'IV']","['A', 'F#m', 'D']"
TS_058,fresh out the slammer,Verse,Taylor Swift,A,major,"['I', 'vi', 'IV']","['A', 'F#m', 'D']"
TS_059,fresh out the slammer,Chorus,Taylor Swift,A,major,"['I', 'vi', 'IV']","['A', 'F#m', 'D']"
TS_060,fresh out the slammer,Outro,Taylor Swift,A,major,"['IV', 'I', 'vi', 'IV']","['D', 'A', 'F#m', 'D']"
TS_061,sad beautiful tragic (taylor's version),Intro,Taylor Swift,G,major,"['I', 'V', 'ii', 'IV']","['G', 'D', 'Am', 'C']"
TS_062,sad beautiful tragic (taylor's version),Verse,Taylor Swift,G,major,"['I', 'V', 'ii', 'IV']","['G', 'D', 'Am', 'C']"
TS_063,sad beautiful tragic (taylor's version),Chorus,Taylor Swift,G,major,"['I', 'V', 'IV']","['G', 'D_Am', 'C']"
TS_064,sad beautiful tragic (taylor's version),Bridge,Taylor Swift,G,major,"['ii', 'IV', 'I', 'V', 'ii', 'I', 'IV']","['Am', 'C', 'G', 'D', 'Am', 'G', 'C']"
TS_065,false god,Verse,Taylor Swift,G,major,"['vi', 'II', 'V', 'I', 'II', 'V']","['Em7', 'A', 'D7', 'G', 'A', 'D7']"
TS_066,false god,Pre-Chorus,Taylor Swift,G,major,"['vi', 'vi', 'V', 'I', 'I', 'V']","['Em7', 'Em7', 'D7', 'G', 'G', 'D7']"
TS_067,false god,Chorus,Taylor Swift,G,major,"['I', 'V', 'II', 'I']","['G', 'D7', 'A', 'G']"
TS_068,false god,Outro,Taylor Swift,G,major,"['I', 'I', 'II', 'V', 'I']","['G', 'G', 'A', 'D7', 'G']"
TS_069,invisible,Intro,Taylor Swift,G,major,"['I', 'IV', 'vi', 'IV']","['G', 'Cadd9', 'Em7', 'Cadd9']"
TS_070,invisible,Verse,Taylor Swift,G,major,"['I', 'V', 'ii', 'IV']","['G', 'D', 'Am', 'C']"
TS_071,invisible,Pre-Chorus,Taylor Swift,G,major,"['IV', 'V']","['C', 'D']"
TS_072,invisible,Chorus,Taylor Swift,G,major,"['I', 'V', 'vi', 'V']","['G', 'D', 'Em7', 'D']"
TS_073,invisible,Bridge,Taylor Swift,G,major,"['I', 'V', 'vi', 'IV']","['G', 'D', 'Em', 'C']"
TS_074,invisible,Outro,Taylor Swift,G,major,"['I', 'V', 'ii', 'IV']","['G', 'D', 'Am', 'C']"
TS_075,tell me why (taylor's version),Verse,Taylor Swift,G,major,"['IV', 'I', 'V', 'vi']","['C', 'G', 'D', 'Em']"
TS_076,tell me why (taylor's version),Chorus,Taylor Swift,G,major,"['I', 'V', 'vi', 'IV']","['G', 'D', 'Em', 'C']"
TS_077,tell me why (taylor's version),Bridge,Taylor Swift,G,major,"['vi', 'IV', 'I', 'V', 'II', 'I', 'V']","['Em', 'C', 'G', 'D', 'A', 'G', 'D']"
TS_078,tell me why (taylor's version),Outro,Taylor Swift,G,major,"['IV', 'I', 'V', 'vi', 'I']","['C', 'G', 'D', 'Em', 'G']"
TS_079,down bad,Verse,Taylor Swift,B,major,"['I', 'V', 'iii', 'IV']","['B', 'F#', 'D#m', 'E']"
TS_080,down bad,Pre-Chorus,Taylor Swift,B,major,['I'],['B']
TS_081,down bad,Chorus,Taylor Swift,B,major,"['I', 'V', 'vi', 'IV']","['B', 'F#', 'G#m', 'E']"
TS_082,down bad,Bridge,Taylor Swift,B,major,"['I', 'vi', 'IV']","['B', 'G#m', 'E']"
TS_083,down bad,Outro,Taylor Swift,B,major,"['I', 'iii', 'vi', 'IV']","['B', 'D#m', 'G#m', 'E']"
TS_084,electric touch(taylor's version) (from the vault),Intro,Taylor Swift,G,major,"['I', 'ii', 'vi', 'IV']","['G', 'Am', 'Em', 'C']"
TS_085,electric touch(taylor's version) (from the vault),Verse,Taylor Swift,G,major,"['I', 'ii', 'vi', 'IV']","['G', 'Am', 'Em', 'C']"
TS_086,electric touch(taylor's version) (from the vault),Chorus,Taylor Swift,G,major,"['I', 'V', 'vi', 'IV']","['G', 'D', 'Em', 'C']"
TS_087,electric touch(taylor's version) (from the vault),Bridge,Taylor Swift,G,major,"['IV', 'vi', 'IV', 'V']","['C', 'Em', 'C', 'D']"
TS_088,teardrops in my guitar,Verse,Taylor Swift,A#,major,"['I', 'vi', 'IV', 'V']","['A#', 'Gm', 'D#', 'F']"
TS_089,teardrops in my guitar,Chorus,Taylor Swift,A#,major,"['I', 'V', 'vi', 'IV']","['A#', 'F', 'Gm', 'D#']"
TS_090,teardrops in my guitar,Bridge,Taylor Swift,A#,major,"['vi', 'IV', 'I', 'V']","['Gm', 'D#', 'A#', 'F']"
TS_091,teardrops in my guitar,Outro,Taylor Swift,A#,major,"['I', 'vi', 'IV', 'V', 'I']","['A#', 'Gm', 'D#', 'F', 'A#']"
TS_092,welcome to new york (taylor's version),Intro,Taylor Swift,G,major,['IV'],['C']
TS_093,welcome to new york (taylor's version),Verse,Taylor Swift,G,major,['IV'],['C']
TS_094,welcome to new york (taylor's version),Chorus,Taylor Swift,G,major,"['I', 'V', 'IV', 'V', 'IV', 'vi']","['G', 'D', 'C/G', 'D', 'C', 'Em']"
TS_095,welcome to new york (taylor's version),Bridge,Taylor Swift,G,major,"['vi', 'V', 'IV', 'V', 'IV']","['Em', 'D', 'C/G', 'D', 'C']"
TS_096,lover,Intro,Taylor Swift,G,major,"['I', 'V', 'IV', 'IV', 'I', 'vi', 'IV', 'IV']","['G', 'D', 'C', 'C', 'G', 'Em', 'C', 'C']"
TS_097,lover,Verse,Taylor Swift,G,major,"['I', 'V', 'IV']","['G', 'D', 'C']"
TS_098,lover,Chorus,Taylor Swift,G,major,"['I', 'V', 'IV', 'I', 'i', 'V', 'IV']","['G', 'D', 'C', 'G', 'Gm', 'D', 'C']"
TS_099,lover,Bridge,Taylor Swift,G,major,"['I', 'V', 'vi', 'VI']","['G', 'D', 'Em', 'F']"
TS_100,lover,Outro,Taylor Swift,G,major,"['I', 'I', 'vi', 'V', 'IV']","['G', 'G', 'Em', 'D', 'C']"
TS_101,22 (taylor's version),Intro,Taylor Swift,G,major,"['I', 'V', 'IV', 'V']","['G', 'D', 'C', 'D']"
TS_102,22 (taylor's version),Verse,Taylor Swift,G,major,"['I', 'V', 'IV', 'V']","['G', 'D', 'C', 'D']"
TS_103,22 (taylor's version),Pre-Chorus,Taylor Swift,G,major,"['I', 'V', 'IV', 'V', 'IV']","['G', 'D', 'C', 'D', 'C']"
TS_104,22 (taylor's version),Chorus,Taylor Swift,G,major,"['I', 'V', 'IV', 'vi', 'V']","['G', 'D', 'C', 'Em', 'D']"
TS_105,22 (taylor's version),Outro,Taylor Swift,G,major,"['IV', 'vi', 'V', 'I']","['C', 'Em', 'D', 'G']"
TS_106,would've could've should’ve,Intro,Taylor Swift,G,major,"['V', 'vi', 'i']","['D', 'Em', 'Gm']"
TS_107,would've could've should’ve,Verse,Taylor Swift,G,major,"['V', 'vi', 'I']","['D', 'Em', 'G']"
TS_108,would've could've should’ve,Pre-Chorus,Taylor Swift,G,major,"['V', 'vi', 'I', 'V']","['D', 'Em', 'G', 'D']"
TS_109,would've could've should’ve,Chorus,Taylor Swift,G,major,"['I', 'V', 'IV']","['G', 'D', 'C']"
TS_110,would've could've should’ve,Bridge,Taylor Swift,G,major,"['I', 'V', 'IV', 'I', 'V']","['G', 'D', 'C', 'G', 'D']"
TS_111,would've could've should’ve,Outro,Taylor Swift,G,major,['III'],['BRIDGE']
TS_112,willow,Intro,Taylor Swift,G,major,"['vi', 'V', 'vi', 'V']","['Em', 'D', 'Em', 'D']"
TS_113,willow,Verse,Taylor Swift,G,major,"['vi', 'V', 'vi', 'V']","['Em', 'D', 'Em', 'D']"
TS_114,willow,Chorus,Taylor Swift,G,major,"['I', 'V', 'ii', 'vi']","['G', 'D', 'Am', 'Em']"
TS_115,willow,Bridge,Taylor Swift,G,major,"['iii', 'vi', 'ii', 'I']","['Bm', 'Em', 'Am', 'G']"
TS_116,willow,Outro,Taylor Swift,G,major,"['V', 'ii', 'vi']","['D', 'Am', 'Em']"
TS_117,i'm only me when i'm with you,Intro,Taylor Swift,G#,major,['I'],['G#']
TS_118,i'm only me when i'm with you,Verse,Taylor Swift,G#,major,"['I', 'V', 'IV', 'vi', 'ii', 'V']","['G#', 'D#', 'C#', 'Fm', 'A#m', 'D#']"
